1,43.17899,90.35665
2,44.66424,90.17878
3,45.13564,91.66277
4,43.71653,89.33674
5,44.80167,90.25063
6,43.53171,90.10267
7,42.62868,88.68125
8,44.79701,89.39132
9,43.68569,93.15544
10,43.90853,94.54467
11,43.32025,94.59678
12,43.31264,94.57988
13,43.2691,94.56429
14,43.31188,94.57387
15,44.29631,89.40992
16,44.66229,92.05747
17,43.07923,89.02847
18,43.14424,96.48376
19,43.71617,90.73619
20,43.0099,89.05129
21,44.20255,90.75654
22,44.20218,90.76866
23,44.84051,91.48899
24,42.69453,88.7228
25,43.55976,93.02031
26,43.83052,90.20413
27,44.11556,90.99996
28,44.31619,90.78839
29,44.24626,90.49537
30,45.10771,89.75215
31,43.13865,90.36444
32,43.13978,90.36549
33,45.14056,89.83613
34,45.13761,89.77561
35,44.57228,89.90299
36,44.07542,94.04531
37,44.7487,90.90264
38,43.30915,94.42406
39,44.95826,90.79821
40,44.06866,90.49461
41,44.20641,91.33474
42,44.80019,89.40016
43,43.88903,90.93981
44,43.5873,93.30668
45,42.5147,93.44323
46,44.25849,92.01139
47,43.87822,92.11327
48,44.54308,91.02431
49,44.56621,91.05996
50,42.89132,94.87327
51,43.17022,89.32187
52,43.16794,89.33368
53,44.3299,90.83796
54,44.13065,90.78022
55,44.31261,90.87688
56,44.1253,92.80248
57,44.81864,89.95706
58,45.12494,91.28422
59,44.45004,90.72491
60,44.53124,92.76739
61,44.19906,90.50165
62,44.20098,90.47952
63,44.25865,90.8593
64,44.32185,90.21867
65,44.77057,89.36487
66,43.60542,89.93499
67,44.78736,89.78363
68,44.67489,89.83576
69,44.68701,89.82724
70,44.67474,89.81663
71,43.29979,91.85521
72,43.11825,91.95473
73,43.16821,90.35793
74,43.59791,92.09842
75,45.22392,90.99406
76,44.29442,89.41355
77,43.70912,91.27932
78,44.66424,90.17878
79,42.83157,88.74073
80,42.91233,90.35292
81,43.33079,89.18933
82,43.37572,89.14529
83,43.38221,89.29451
84,43.19345,90.82935
85,43.19613,92.03451
86,43.30334,91.84868
87,43.39566,89.06508
88,43.4111,89.08092
89,43.4212,89.5411
90,43.4253,89.3587
91,43.54038,89.64537
92,43.62539,89.56632
93,43.58987,89.7397
94,43.6368,89.95359
95,43.79575,89.23692
96,43.80148,89.34099
97,43.89333,89.64459
98,43.71781,90.62199
99,43.72461,89.86336
100,43.87143,90.01849
101,43.9191,90.12568
102,43.93607,90.31236
103,43.57442,91.6052
104,43.69031,90.93862
105,43.61555,91.87253
106,43.6163,91.88094
107,43.618,91.77648
108,43.77934,91.36615
109,43.8402,90.81776
110,43.85188,90.88025
111,43.91134,91.56834
112,43.98179,90.79426
113,43.75775,92.15562
114,43.76964,91.82676
115,43.83672,92.61977
116,43.85214,91.84914
117,43.92474,92.06545
118,43.06518,94.5607
119,43.20974,94.59188
120,43.21033,93.69593
121,43.37408,93.94645
122,42.82374,95.79321
123,42.93903,95.8686
124,43.06408,94.99709
125,43.14462,96.46842
126,43.26513,94.63833
127,43.27551,96.60297
128,43.30422,94.92837
129,43.32781,95.67142
130,43.34995,94.78781
131,43.43241,94.22364
132,43.44279,93.907
133,43.46145,94.01731
134,43.58606,93.29856
135,43.60933,93.2698
136,43.61413,93.3872
137,43.6183,93.77033
138,43.62428,93.19515
139,43.6425,93.18436
140,43.67251,92.82128
141,43.69707,93.15437
142,43.7868,93.42535
143,43.92314,93.83894
144,44.00355,93.71353
145,43.41295,94.98871
146,43.66804,95.2904
147,43.77642,96.03913
148,44.11519,89.50706
149,44.12736,90.63799
150,44.23169,90.45598
151,44.24409,90.60218
152,44.5249,89.57633
153,44.57705,89.51765
154,44.62549,89.45769
155,44.63558,89.454
156,44.65979,89.63329
157,44.3985,89.86766
158,44.50211,90.43056
159,44.62201,90.16393
160,44.62465,90.16502
161,44.62619,90.1849
162,44.62891,90.18659
163,44.64036,90.16157
164,44.64189,90.15964
165,44.64385,90.18312
166,44.62227,90.57582
167,44.62271,90.47718
168,44.12613,91.0053
169,44.15673,91.66697
170,44.16735,91.20842
171,44.18882,91.25368
172,44.28116,91.36357
173,44.28594,91.32898
174,44.35496,91.20492
175,44.59072,91.28308
176,44.52171,92.49254
177,44.79273,89.8498
178,44.79601,89.38884
179,44.80055,89.4001
180,44.84277,90.37575
